W_SVD,W_KNN,W_CB,NDCG@10
0.0,1.0,0.0,0.1341
0.0,0.9,0.1,0.1275
0.1,0.9,0.0,0.1263
0.1,0.8,0.1,0.1227
0.0,0.8,0.2,0.1218
0.1,0.7,0.2,0.1197
0.2,0.8,0.0,0.1166
0.0,0.7,0.3,0.1155
0.2,0.7,0.1,0.1121
0.3,0.7,0.0,0.1103
0.1,0.6,0.3,0.1102
0.4,0.6,0.0,0.1074
0.3,0.6,0.1,0.1064
0.2,0.6,0.2,0.1059
0.2,0.5,0.3,0.1019
0.4,0.5,0.1,0.1018
0.0,0.6,0.4,0.101
0.1,0.5,0.4,0.0982
0.3,0.5,0.2,0.0976
0.5,0.5,0.0,0.0954
0.4,0.4,0.2,0.086
0.3,0.4,0.3,0.086
0.5,0.4,0.1,0.0857
0.0,0.5,0.5,0.0845
0.2,0.4,0.4,0.0832
0.6,0.4,0.0,0.0822
0.7,0.3,0.0,0.0775
0.6,0.3,0.1,0.0764
0.1,0.4,0.5,0.0761
0.5,0.3,0.2,0.073
0.8,0.2,0.0,0.0699
0.4,0.3,0.3,0.0688
0.3,0.3,0.4,0.0675
0.0,0.4,0.6,0.0659
0.7,0.2,0.1,0.065
0.2,0.3,0.5,0.0642
0.5,0.2,0.3,0.0607
0.6,0.2,0.2,0.0603
0.1,0.3,0.6,0.0603
0.4,0.2,0.4,0.0586
0.9,0.1,0.0,0.058
0.0,0.3,0.7,0.0512
0.3,0.2,0.5,0.0504
0.2,0.2,0.6,0.0494
0.8,0.1,0.1,0.0493
0.1,0.2,0.7,0.047
0.5,0.1,0.4,0.0458
0.0,0.2,0.8,0.0444
0.7,0.1,0.2,0.044
0.3,0.1,0.6,0.0415
0.2,0.1,0.7,0.0409
0.4,0.1,0.5,0.0406
0.6,0.1,0.3,0.0403
0.1,0.1,0.8,0.0395
0.6,0.0,0.4,0.0391
0.8,0.0,0.2,0.0384
0.9,0.0,0.1,0.0381
0.7,0.0,0.3,0.0366
1.0,0.0,0.0,0.0362
0.3,0.0,0.7,0.0331
0.5,0.0,0.5,0.0329
0.0,0.1,0.9,0.0326
0.4,0.0,0.6,0.0319
0.2,0.0,0.8,0.029
0.0,0.0,1.0,0.025
0.1,0.0,0.9,0.0234
